"name","word","count"
"cameron","cameron","46647"
"said","said","40008"
"would","would","31574"
"government","government","24376"
"minister","minister","23225"
"labour","labour","20835"
"one","one","20158"
"people","people","19894"
"prime","prime","19557"
"party","party","17688"
"david","david","15447"
"britain","britain","14318"
"new","new","13449"
"also","also","13440"
"could","could","12072"
"uk","uk","11630"
"last","last","11454"
"time","time","11453"
"public","public","11103"
"us","us","10762"
"tory","tory","10760"
"eu","eu","10720"
"year","year","10676"
"british","british","10447"
"may","may","9897"
"like","like","9876"
"two","two","9211"
"twitter","twitter","9049"
"first","first","8912"
"make","make","8739"
"share","share","8708"
"says","says","8562"
"even","even","8448"
"election","election","8425"
"political","political","8425"
"years","years","8362"
"think","think","8311"
"get","get","8229"
"secretary","secretary","8207"
"made","made","8104"
"facebook","facebook","7989"
"right","right","7952"
"plus","plus","7942"
"conservative","conservative","7900"
"country","country","7891"
"say","say","7889"
"way","way","7866"
"clegg","clegg","7796"
"google","google","7694"
"world","world","7688"
"many","many","7684"
"coalition","coalition","7646"
"much","much","7538"
"work","work","7537"
"back","back","7482"
"miliband","miliband","7425"
"week","week","7290"
"need","need","7189"
"tories","tories","7137"
"tax","tax","7119"
"leader","leader","6865"
"take","take","6770"
"lib","lib","6748"
"told","told","6728"
"european","european","6689"
"well","well","6659"
"support","support","6657"
"next","next","6651"
"10","10","6646"
"want","want","6536"
"vote","vote","6522"
"mps","mps","6381"
"going","going","6327"
"see","see","6178"
"policy","policy","6119"
"europe","europe","5979"
"today","today","5915"
"change","change","5914"
"news","news","5852"
"still","still","5803"
"close","close","5689"
"good","good","5631"
"former","former","5584"
"000","000","5528"
"post","post","5508"
"state","state","5473"
"go","go","5410"
"national","national","5310"
"since","since","5289"
"london","london","5253"
"whether","whether","5248"
"clear","clear","5176"
"big","big","5170"
"long","long","5108"
"osborne","osborne","5081"
"three","three","5072"
"parliament","parliament","5050"
"press","press","4981"
"street","street","4934"
"might","might","4878"
