"name","word","count"
"cameron","cameron","9487"
"said","said","6323"
"would","would","5844"
"labour","labour","5823"
"government","government","5061"
"party","party","4493"
"one","one","3874"
"people","people","3590"
"new","new","3158"
"minister","minister","3139"
"david","david","3114"
"lib","lib","2949"
"tory","tory","2937"
"clegg","clegg","2853"
"election","election","2724"
"brown","brown","2696"
"prime","prime","2656"
"public","public","2596"
"tories","tories","2510"
"last","last","2329"
"also","also","2317"
"coalition","coalition","2311"
"could","could","2236"
"britain","britain","2195"
"time","time","2185"
"first","first","2073"
"us","us","2020"
"year","year","1972"
"like","like","1962"
"may","may","1866"
"conservative","conservative","1843"
"today","today","1836"
"two","two","1827"
"political","political","1775"
"leader","leader","1758"
"years","years","1749"
"even","even","1716"
"british","british","1684"
"cuts","cuts","1683"
"dems","dems","1658"
"liberal","liberal","1645"
"get","get","1600"
"make","make","1579"
"much","much","1566"
"think","think","1489"
"country","country","1478"
"made","made","1466"
"tax","tax","1462"
"right","right","1461"
"way","way","1459"
"big","big","1457"
"say","say","1455"
"week","week","1445"
"many","many","1432"
"conservatives","conservatives","1414"
"back","back","1372"
"secretary","secretary","1365"
"work","work","1359"
"vote","vote","1353"
"well","well","1320"
"change","change","1298"
"see","see","1284"
"world","world","1273"
"take","take","1272"
"uk","uk","1260"
"next","next","1243"
"spending","spending","1241"
"good","good","1232"
"going","going","1229"
"policy","policy","1214"
"000","000","1202"
"need","need","1194"
"want","want","1184"
"campaign","campaign","1177"
"support","support","1173"
"reform","reform","1170"
"dem","dem","1166"
"nick","nick","1161"
"power","power","1161"
"society","society","1154"
"gordon","gordon","1137"
"10","10","1134"
"says","says","1133"
"national","national","1127"
"still","still","1108"
"parliament","parliament","1096"
"three","three","1096"
"voters","voters","1091"
"mps","mps","1090"
"state","state","1084"
"budget","budget","1073"
"might","might","1073"
"told","told","1068"
"politics","politics","1064"
"parties","parties","1053"
"system","system","1040"
"since","since","1009"
"go","go","987"
"london","london","985"
"osborne","osborne","962"
