"name","word","count"
"cameron","cameron","10019"
"said","said","8531"
"would","would","6503"
"government","government","5707"
"minister","minister","4921"
"one","one","4512"
"people","people","4494"
"prime","prime","4300"
"labour","labour","3628"
"david","david","3247"
"britain","britain","3180"
"public","public","2850"
"also","also","2837"
"party","party","2799"
"new","new","2731"
"could","could","2619"
"time","time","2599"
"last","last","2586"
"may","may","2293"
"year","year","2266"
"british","british","2190"
"us","us","2165"
"news","news","2079"
"like","like","2071"
"make","make","2032"
"world","world","1988"
"uk","uk","1988"
"secretary","secretary","1949"
"coalition","coalition","1946"
"police","police","1928"
"right","right","1913"
"two","two","1881"
"get","get","1863"
"even","even","1852"
"first","first","1835"
"work","work","1809"
"think","think","1780"
"say","say","1764"
"made","made","1761"
"eu","eu","1759"
"many","many","1755"
"says","says","1752"
"nhs","nhs","1738"
"way","way","1736"
"tory","tory","1725"
"clegg","clegg","1721"
"political","political","1691"
"years","years","1674"
"week","week","1652"
"back","back","1652"
"conservative","conservative","1638"
"need","need","1636"
"much","much","1630"
"country","country","1627"
"told","told","1569"
"policy","policy","1548"
"take","take","1532"
"miliband","miliband","1500"
"european","european","1477"
"going","going","1420"
"big","big","1415"
"see","see","1399"
"support","support","1392"
"well","well","1385"
"society","society","1368"
"want","want","1361"
"10","10","1358"
"europe","europe","1349"
"mps","mps","1342"
"still","still","1311"
"street","street","1306"
"lib","lib","1288"
"good","good","1284"
"change","change","1267"
"former","former","1257"
"health","health","1257"
"go","go","1228"
"london","london","1188"
"000","000","1181"
"leader","leader","1176"
"next","next","1162"
"whether","whether","1161"
"services","services","1152"
"clear","clear","1133"
"today","today","1126"
"election","election","1118"
"cuts","cuts","1118"
"must","must","1112"
"home","home","1108"
"international","international","1104"
"since","since","1104"
"long","long","1102"
"coulson","coulson","1099"
"know","know","1098"
"ministers","ministers","1090"
"state","state","1082"
"national","national","1072"
"downing","downing","1069"
"put","put","1065"
"social","social","1056"
