"name","word","count"
"cameron","cameron","8828"
"said","said","8612"
"would","would","6169"
"minister","minister","4737"
"government","government","4604"
"labour","labour","4234"
"people","people","4030"
"prime","prime","3999"
"twitter","twitter","3957"
"share","share","3899"
"one","one","3862"
"google","google","3743"
"plus","plus","3717"
"facebook","facebook","3714"
"party","party","3690"
"britain","britain","3178"
"david","david","2911"
"eu","eu","2798"
"says","says","2685"
"also","also","2679"
"uk","uk","2663"
"new","new","2506"
"could","could","2316"
"british","british","2255"
"us","us","2186"
"miliband","miliband","2169"
"post","post","2129"
"close","close","2125"
"time","time","2090"
"last","last","2028"
"year","year","2013"
"like","like","1988"
"tory","tory","1970"
"public","public","1861"
"expand","expand","1840"
"tax","tax","1816"
"may","may","1783"
"think","think","1751"
"make","make","1700"
"two","two","1693"
"political","political","1690"
"years","years","1686"
"country","country","1661"
"way","way","1584"
"right","right","1584"
"say","say","1570"
"conservative","conservative","1565"
"made","made","1563"
"even","even","1560"
"get","get","1557"
"world","world","1553"
"first","first","1553"
"work","work","1499"
"many","many","1486"
"back","back","1452"
"secretary","secretary","1435"
"much","much","1432"
"europe","europe","1430"
"need","need","1428"
"next","next","1405"
"want","want","1384"
"press","press","1384"
"mps","mps","1371"
"support","support","1365"
"vote","vote","1349"
"energy","energy","1345"
"10","10","1338"
"election","election","1310"
"european","european","1302"
"week","week","1294"
"told","told","1279"
"speech","speech","1256"
"going","going","1252"
"leader","leader","1235"
"take","take","1234"
"well","well","1233"
"policy","policy","1195"
"still","still","1177"
"see","see","1169"
"ed","ed","1151"
"tories","tories","1130"
"whether","whether","1126"
"national","national","1119"
"today","today","1114"
"referendum","referendum","1114"
"go","go","1108"
"clegg","clegg","1092"
"three","three","1055"
"coalition","coalition","1052"
"clear","clear","1007"
"good","good","1005"
"former","former","996"
"put","put","996"
"know","know","994"
"change","change","988"
"since","since","983"
"osborne","osborne","969"
"long","long","953"
"economic","economic","949"
"000","000","945"
