"name","word","count"
"clegg","clegg","5394"
"labour","labour","4692"
"lib","lib","4422"
"would","would","4071"
"party","party","4040"
"government","government","3481"
"said","said","3428"
"cameron","cameron","3288"
"coalition","coalition","2611"
"one","one","2470"
"dems","dems","2435"
"election","election","2263"
"liberal","liberal","2137"
"brown","brown","2115"
"people","people","2059"
"new","new","1860"
"dem","dem","1837"
"nick","nick","1722"
"tories","tories","1706"
"tory","tory","1609"
"vote","vote","1561"
"could","could","1484"
"david","david","1452"
"first","first","1422"
"also","also","1420"
"time","time","1373"
"may","may","1340"
"minister","minister","1334"
"last","last","1310"
"political","political","1292"
"like","like","1277"
"two","two","1273"
"leader","leader","1270"
"public","public","1250"
"reform","reform","1243"
"prime","prime","1138"
"today","today","1090"
"parties","parties","1080"
"think","think","1076"
"democrats","democrats","1059"
"even","even","1055"
"politics","politics","1026"
"conservatives","conservatives","1024"
"make","make","1023"
"tax","tax","1014"
"much","much","1001"
"us","us","997"
"cuts","cuts","986"
"mps","mps","979"
"get","get","979"
"conservative","conservative","972"
"parliament","parliament","968"
"years","years","966"
"system","system","955"
"britain","britain","945"
"right","right","939"
"many","many","936"
"way","way","927"
"year","year","922"
"see","see","913"
"say","say","910"
"voters","voters","906"
"policy","policy","889"
"back","back","884"
"made","made","882"
"change","change","876"
"going","going","859"
"power","power","852"
"says","says","851"
"support","support","841"
"next","next","833"
"campaign","campaign","833"
"gordon","gordon","819"
"well","well","815"
"debate","debate","810"
"country","country","805"
"electoral","electoral","797"
"three","three","781"
"week","week","771"
"british","british","761"
"take","take","758"
"secretary","secretary","755"
"work","work","739"
"want","want","735"
"10","10","726"
"seats","seats","723"
"good","good","716"
"still","still","699"
"spending","spending","698"
"might","might","695"
"deal","deal","684"
"need","need","675"
"democrat","democrat","624"
"told","told","620"
"since","since","619"
"big","big","618"
"long","long","616"
"majority","majority","612"
"come","come","602"
"put","put","598"
