"name","count","party","date","sample_articles"
"cameron","512","cameron","201002","102"
"party","351","cameron","201002","102"
"labour","348","cameron","201002","102"
"would","306","cameron","201002","102"
"said","297","cameron","201002","102"
"tory","253","cameron","201002","102"
"one","233","cameron","201002","102"
"people","230","cameron","201002","102"
"government","214","cameron","201002","102"
"brown","214","cameron","201002","102"
"election","190","cameron","201002","102"
"tories","184","cameron","201002","102"
"david","160","cameron","201002","102"
"public","157","cameron","201002","102"
"conservative","155","cameron","201002","102"
"last","150","cameron","201002","102"
"new","135","cameron","201002","102"
"also","128","cameron","201002","102"
"could","128","cameron","201002","102"
"time","116","cameron","201002","102"
"mps","116","cameron","201002","102"
"leader","115","cameron","201002","102"
"year","110","cameron","201002","102"
"like","108","cameron","201002","102"
"years","101","cameron","201002","102"
"minister","101","cameron","201002","102"
"even","100","cameron","201002","102"
"right","99","cameron","201002","102"
"week","99","cameron","201002","102"
"conservatives","97","cameron","201002","102"
"britain","97","cameron","201002","102"
"change","95","cameron","201002","102"
"think","93","cameron","201002","102"
"much","91","cameron","201002","102"
"voters","90","cameron","201002","102"
"today","90","cameron","201002","102"
"political","89","cameron","201002","102"
"get","87","cameron","201002","102"
"say","86","cameron","201002","102"
"many","86","cameron","201002","102"
"policy","86","cameron","201002","102"
"spending","85","cameron","201002","102"
"politics","85","cameron","201002","102"
"gordon","84","cameron","201002","102"
"two","84","cameron","201002","102"
"way","80","cameron","201002","102"
"may","80","cameron","201002","102"
"mr","80","cameron","201002","102"
"going","77","cameron","201002","102"
"make","77","cameron","201002","102"
"still","76","cameron","201002","102"
"first","76","cameron","201002","102"
"prime","75","cameron","201002","102"
"cuts","75","cameron","201002","102"
"vote","74","cameron","201002","102"
"parliament","73","cameron","201002","102"
"made","73","cameron","201002","102"
"need","72","cameron","201002","102"
"next","71","cameron","201002","102"
"back","70","cameron","201002","102"
"know","70","cameron","201002","102"
"country","69","cameron","201002","102"
"economy","69","cameron","201002","102"
"general","69","cameron","201002","102"
"tax","69","cameron","201002","102"
"three","68","cameron","201002","102"
"secretary","67","cameron","201002","102"
"well","67","cameron","201002","102"
"take","66","cameron","201002","102"
"economic","65","cameron","201002","102"
"must","64","cameron","201002","102"
"news","64","cameron","201002","102"
"want","63","cameron","201002","102"
"might","63","cameron","201002","102"
"campaign","62","cameron","201002","102"
"money","61","cameron","201002","102"
"good","61","cameron","201002","102"
"poll","61","cameron","201002","102"
"see","60","cameron","201002","102"
"go","60","cameron","201002","102"
"big","60","cameron","201002","102"
"says","60","cameron","201002","102"
"former","59","cameron","201002","102"
"us","59","cameron","201002","102"
"ve","59","cameron","201002","102"
"yet","59","cameron","201002","102"
"bbc","58","cameron","201002","102"
"power","58","cameron","201002","102"
"work","58","cameron","201002","102"
"osborne","58","cameron","201002","102"
"local","58","cameron","201002","102"
"social","57","cameron","201002","102"
"world","56","cameron","201002","102"
"since","56","cameron","201002","102"
"job","56","cameron","201002","102"
"children","54","cameron","201002","102"
"parliamentary","54","cameron","201002","102"
"lead","54","cameron","201002","102"
"old","53","cameron","201002","102"
"would","84","clegg","201002","19"
"labour","77","clegg","201002","19"
"party","75","clegg","201002","19"
"lib","72","clegg","201002","19"
"clegg","68","clegg","201002","19"
"government","65","clegg","201002","19"
"brown","56","clegg","201002","19"
"said","48","clegg","201002","19"
"dems","47","clegg","201002","19"
"parliament","41","clegg","201002","19"
"liberal","39","clegg","201002","19"
"election","37","clegg","201002","19"
"tories","37","clegg","201002","19"
"one","34","clegg","201002","19"
"hung","32","clegg","201002","19"
"could","32","clegg","201002","19"
"also","27","clegg","201002","19"
"time","26","clegg","201002","19"
"mps","26","clegg","201002","19"
"dem","25","clegg","201002","19"
"reform","23","clegg","201002","19"
"nick","23","clegg","201002","19"
"even","22","clegg","201002","19"
"new","21","clegg","201002","19"
"secretary","21","clegg","201002","19"
"people","21","clegg","201002","19"
"minister","21","clegg","201002","19"
"today","20","clegg","201002","19"
"bullying","20","clegg","201002","19"
"leader","20","clegg","201002","19"
"make","18","clegg","201002","19"
"democrat","18","clegg","201002","19"
"coalition","18","clegg","201002","19"
"10","17","clegg","201002","19"
"director","17","clegg","201002","19"
"cameron","17","clegg","201002","19"
"need","17","clegg","201002","19"
"may","16","clegg","201002","19"
"parties","16","clegg","201002","19"
"power","16","clegg","201002","19"
"home","16","clegg","201002","19"
"much","16","clegg","201002","19"
"minority","15","clegg","201002","19"
"queen","15","clegg","201002","19"
"support","15","clegg","201002","19"
"gordon","15","clegg","201002","19"
"prime","15","clegg","201002","19"
"poll","15","clegg","201002","19"
"either","15","clegg","201002","19"
"conservative","15","clegg","201002","19"
"conservatives","15","clegg","201002","19"
"general","15","clegg","201002","19"
"tory","14","clegg","201002","19"
"year","14","clegg","201002","19"
"first","14","clegg","201002","19"
"children","14","clegg","201002","19"
"electoral","14","clegg","201002","19"
"last","14","clegg","201002","19"
"majority","14","clegg","201002","19"
"system","14","clegg","201002","19"
"want","13","clegg","201002","19"
"david","13","clegg","201002","19"
"better","13","clegg","201002","19"
"second","13","clegg","201002","19"
"though","13","clegg","201002","19"
"say","13","clegg","201002","19"
"allegations","13","clegg","201002","19"
"britain","13","clegg","201002","19"
"scotland","13","clegg","201002","19"
"democrats","13","clegg","201002","19"
"national","13","clegg","201002","19"
"made","13","clegg","201002","19"
"campaign","12","clegg","201002","19"
"mp","12","clegg","201002","19"
"salmond","12","clegg","201002","19"
"way","12","clegg","201002","19"
"snp","12","clegg","201002","19"
"take","12","clegg","201002","19"
"speech","12","clegg","201002","19"
"cabinet","12","clegg","201002","19"
"behaviour","12","clegg","201002","19"
"less","12","clegg","201002","19"
"scottish","12","clegg","201002","19"
"staff","12","clegg","201002","19"
"every","11","clegg","201002","19"
"work","11","clegg","201002","19"
"london","11","clegg","201002","19"
"however","11","clegg","201002","19"
"o","11","clegg","201002","19"
"economy","11","clegg","201002","19"
"still","11","clegg","201002","19"
"given","11","clegg","201002","19"
"get","11","clegg","201002","19"
"important","11","clegg","201002","19"
"might","11","clegg","201002","19"
"political","11","clegg","201002","19"
"voters","11","clegg","201002","19"
"back","11","clegg","201002","19"
"armstrong","11","clegg","201002","19"
"society","11","clegg","201002","19"
"cameron","743","cameron","201003","154"
"party","512","cameron","201003","154"
"said","476","cameron","201003","154"
"would","455","cameron","201003","154"
"labour","425","cameron","201003","154"
"tory","345","cameron","201003","154"
"one","302","cameron","201003","154"
"tories","277","cameron","201003","154"
"election","272","cameron","201003","154"
"government","234","cameron","201003","154"
"brown","231","cameron","201003","154"
"conservative","229","cameron","201003","154"
"david","219","cameron","201003","154"
"ashcroft","218","cameron","201003","154"
"leader","206","cameron","201003","154"
"people","205","cameron","201003","154"
"last","205","cameron","201003","154"
"public","175","cameron","201003","154"
"also","169","cameron","201003","154"
"tax","164","cameron","201003","154"
"new","159","cameron","201003","154"
"time","158","cameron","201003","154"
"political","151","cameron","201003","154"
"even","148","cameron","201003","154"
"conservatives","147","cameron","201003","154"
"could","136","cameron","201003","154"
"years","135","cameron","201003","154"
"vote","135","cameron","201003","154"
"like","133","cameron","201003","154"
"britain","132","cameron","201003","154"
"minister","127","cameron","201003","154"
"campaign","121","cameron","201003","154"
"first","121","cameron","201003","154"
"made","119","cameron","201003","154"
"voters","118","cameron","201003","154"
"today","117","cameron","201003","154"
"us","116","cameron","201003","154"
"year","115","cameron","201003","154"
"two","115","cameron","201003","154"
"right","111","cameron","201003","154"
"parties","110","cameron","201003","154"
"hague","106","cameron","201003","154"
"say","106","cameron","201003","154"
"change","105","cameron","201003","154"
"get","103","cameron","201003","154"
"think","102","cameron","201003","154"
"gordon","100","cameron","201003","154"
"politics","99","cameron","201003","154"
"lord","98","cameron","201003","154"
"prime","96","cameron","201003","154"
"uk","96","cameron","201003","154"
"way","96","cameron","201003","154"
"country","94","cameron","201003","154"
"former","93","cameron","201003","154"
"may","92","cameron","201003","154"
"much","90","cameron","201003","154"
"cuts","90","cameron","201003","154"
"parliament","90","cameron","201003","154"
"support","89","cameron","201003","154"
"good","88","cameron","201003","154"
"well","87","cameron","201003","154"
"secretary","86","cameron","201003","154"
"british","86","cameron","201003","154"
"might","86","cameron","201003","154"
"work","84","cameron","201003","154"
"question","83","cameron","201003","154"
"general","82","cameron","201003","154"
"know","82","cameron","201003","154"
"want","81","cameron","201003","154"
"week","81","cameron","201003","154"
"questions","81","cameron","201003","154"
"take","80","cameron","201003","154"
"three","80","cameron","201003","154"
"budget","79","cameron","201003","154"
"make","79","cameron","201003","154"
"going","78","cameron","201003","154"
"rights","78","cameron","201003","154"
"ireland","78","cameron","201003","154"
"shadow","77","cameron","201003","154"
"many","77","cameron","201003","154"
"osborne","76","cameron","201003","154"
"northern","76","cameron","201003","154"
"back","76","cameron","201003","154"
"see","75","cameron","201003","154"
"since","75","cameron","201003","154"
"big","75","cameron","201003","154"
"spending","74","cameron","201003","154"
"liberal","73","cameron","201003","154"
"office","73","cameron","201003","154"
"non","73","cameron","201003","154"
"mps","72","cameron","201003","154"
"left","72","cameron","201003","154"
"says","72","cameron","201003","154"
"yet","71","cameron","201003","154"
"policy","71","cameron","201003","154"
"long","71","cameron","201003","154"
"next","68","cameron","201003","154"
"need","68","cameron","201003","154"
"really","67","cameron","201003","154"
"another","67","cameron","201003","154"
"party","189","clegg","201003","40"
"clegg","146","clegg","201003","40"
"labour","142","clegg","201003","40"
"lib","138","clegg","201003","40"
"would","133","clegg","201003","40"
"election","109","clegg","201003","40"
"said","98","clegg","201003","40"
"one","88","clegg","201003","40"
"liberal","84","clegg","201003","40"
"dems","83","clegg","201003","40"
"cameron","78","clegg","201003","40"
"tax","72","clegg","201003","40"
"brown","70","clegg","201003","40"
"government","68","clegg","201003","40"
"people","60","clegg","201003","40"
"tories","60","clegg","201003","40"
"parties","55","clegg","201003","40"
"parliament","53","clegg","201003","40"
"dem","50","clegg","201003","40"
"leader","50","clegg","201003","40"
"three","49","clegg","201003","40"
