"name","count","date","party"				
"clegg","5394",2010,clegg
"labour","4692",2010,clegg
"lib","4422",2010,clegg
"would","4071",2010,clegg
"party","4040",2010,clegg
"government","3481",2010,clegg
"said","3428",2010,clegg
"cameron","3288",2010,clegg
"coalition","2611",2010,clegg
"one","2470",2010,clegg
"dems","2435",2010,clegg
"election","2263",2010,clegg
"liberal","2137",2010,clegg
"brown","2115",2010,clegg
"people","2059",2010,clegg
"new","1860",2010,clegg
"dem","1837",2010,clegg
"nick","1722",2010,clegg
"tories","1706",2010,clegg
"tory","1609",2010,clegg
"vote","1561",2010,clegg
"could","1484",2010,clegg
"david","1452",2010,clegg
"first","1422",2010,clegg
"also","1420",2010,clegg
"time","1373",2010,clegg
"may","1340",2010,clegg
"minister","1334",2010,clegg
"last","1310",2010,clegg
"political","1292",2010,clegg
"like","1277",2010,clegg
"two","1273",2010,clegg
"leader","1270",2010,clegg
"public","1250",2010,clegg
"reform","1243",2010,clegg
"prime","1138",2010,clegg
"today","1090",2010,clegg
"parties","1080",2010,clegg
"think","1076",2010,clegg
"democrats","1059",2010,clegg
"even","1055",2010,clegg
"politics","1026",2010,clegg
"conservatives","1024",2010,clegg
"make","1023",2010,clegg
"tax","1014",2010,clegg
"much","1001",2010,clegg
"us","997",2010,clegg
"cuts","986",2010,clegg
"mps","979",2010,clegg
"get","979",2010,clegg
"conservative","972",2010,clegg
"parliament","968",2010,clegg
"years","966",2010,clegg
"system","955",2010,clegg
"britain","945",2010,clegg
"right","939",2010,clegg
"many","936",2010,clegg
"way","927",2010,clegg
"year","922",2010,clegg
"see","913",2010,clegg
"say","910",2010,clegg
"voters","906",2010,clegg
"policy","889",2010,clegg
"back","884",2010,clegg
"made","882",2010,clegg
"change","876",2010,clegg
"going","859",2010,clegg
"power","852",2010,clegg
"says","851",2010,clegg
"support","841",2010,clegg
"next","833",2010,clegg
"campaign","833",2010,clegg
"gordon","819",2010,clegg
"well","815",2010,clegg
"debate","810",2010,clegg
"country","805",2010,clegg
"electoral","797",2010,clegg
"three","781",2010,clegg
"week","771",2010,clegg
"british","761",2010,clegg
"take","758",2010,clegg
"secretary","755",2010,clegg
"work","739",2010,clegg
"want","735",2010,clegg
"10","726",2010,clegg
"seats","723",2010,clegg
"good","716",2010,clegg
"still","699",2010,clegg
"spending","698",2010,clegg
"might","695",2010,clegg
"deal","684",2010,clegg
"need","675",2010,clegg
"democrat","624",2010,clegg
"told","620",2010,clegg
"since","619",2010,clegg
"big","618",2010,clegg
"long","616",2010,clegg
"majority","612",2010,clegg
"come","602",2010,clegg
"put","598",2010,clegg
